immatriculation,type_engin,marque,annee_mise_en_service,age_vehicule_ans,departement_affectation,km_parcourus_estimes,etat_general,assureur
PRT-0072-BJ,Camion benne,SHACMAN,2007,17,Plateau,576000,Mauvais,Allianz Bénin
PRT-0073-BJ,Bulldozer,JCB,2020,4,Ouémé,150000,Bon,NSIA Bénin
PRT-0074-BJ,Chargeur,Komatsu,2018,6,Atlantique,227000,Moyen,COLINA
PRT-0075-BJ,Véhicule léger 4x4,Mitsubishi,2012,12,Atacora,232000,Bon,BGFA Bénin
PRT-0076-BJ,Véhicule léger 4x4,Mitsubishi,2022,2,Collines,79000,Bon,UAB
PRT-0077-BJ,Compacteur,Hitachi,2018,6,Alibori,266000,Bon,Allianz Bénin
PRT-0078-BJ,Bulldozer,Doosan,2019,5,Atlantique,179000,Bon,SAAR-Bénin
PRT-0079-BJ,Camion citerne,FAW,2020,4,Collines,70000,Bon,SOBAC
PRT-0080-BJ,Véhicule léger 4x4,Ford,2015,9,Atlantique,176000,Moyen,Allianz Bénin
PRT-0081-BJ,Camion benne,Volvo,2011,13,Littoral,426000,Mauvais,UAB
PRT-0082-BJ,Véhicule léger 4x4,Nissan,2018,6,Ouémé,227000,Moyen,NSIA Bénin
PRT-0083-BJ,Chargeur,JCB,2020,4,Littoral,159000,Bon,UAB
PRT-0084-BJ,Chargeur,JCB,2022,2,Borgou,66000,Bon,BGFA Bénin
PRT-0085-BJ,Compacteur,Volvo CE,2020,4,Atlantique,64000,Bon,UAB
PRT-0086-BJ,Véhicule léger 4x4,Land Rover,2017,7,Borgou,134000,Moyen,COLINA
PRT-0087-BJ,Niveleuse,JCB,2005,19,Littoral,825000,Mauvais,UAB
PRT-0088-BJ,Camion benne,IVECO,2017,7,Atlantique,182000,Bon,BGFA Bénin
PRT-0089-BJ,Chargeur,XCMG,2018,6,Atlantique,94000,Bon,SOBAC
PRT-0090-BJ,Niveleuse,SANY,2012,12,Collines,436000,Mauvais,NSIA Bénin
PRT-0091-BJ,Bulldozer,Volvo CE,2011,13,Alibori,297000,Mauvais,Allianz Bénin
PRT-0092-BJ,Véhicule léger 4x4,Toyota,2011,13,Plateau,352000,Moyen,Allianz Bénin
PRT-0093-BJ,Compacteur,Komatsu,2010,14,Mono,222000,Moyen,SAAR-Bénin
PRT-0094-BJ,Compacteur,JCB,2017,7,Donga,241000,Bon,SOBAC
PRT-0095-BJ,Grue mobile,Volvo CE,2008,16,Borgou,599000,Moyen,COLINA
PRT-0096-BJ,Camion citerne,Mercedes-Benz,2016,8,Zou,138000,Moyen,COLINA
PRT-0097-BJ,Pelle hydraulique,Caterpillar,2018,6,Alibori,161000,Bon,SOBAC
PRT-0098-BJ,Chargeur,Doosan,2009,15,Ouémé,545000,Mauvais,SAAR-Bénin
PRT-0099-BJ,Compacteur,Hitachi,2020,4,Plateau,138000,Moyen,SAAR-Bénin
PRT-0100-BJ,Véhicule léger 4x4,Nissan,2007,17,Atlantique,673000,Mauvais,UAB
PRT-0101-BJ,Compacteur,JCB,2015,9,Littoral,189000,Mauvais,UAB
PRT-0102-BJ,Camion benne,IVECO,2015,9,Atlantique,395000,Moyen,SAAR-Bénin
PRT-0103-BJ,Niveleuse,Hitachi,2011,13,Littoral,403000,Mauvais,COLINA
PRT-0104-BJ,Bulldozer,Doosan,2020,4,Plateau,99000,Bon,Allianz Bénin
PRT-0105-BJ,Véhicule léger 4x4,Nissan,2014,10,Collines,331000,Moyen,COLINA
PRT-0106-BJ,Véhicule léger 4x4,Land Rover,2022,2,Atlantique,76000,Bon,UAB
PRT-0107-BJ,Camion benne,IVECO,2012,12,Littoral,227000,Bon,SOBAC
PRT-0108-BJ,Niveleuse,Liebherr,2011,13,Atlantique,504000,Mauvais,COLINA
PRT-0109-BJ,Camion plateau,FAW,2014,10,Couffo,247000,Mauvais,Allianz Bénin
PRT-0110-BJ,Véhicule léger 4x4,Ford,2005,19,Borgou,313000,Moyen,NSIA Bénin
PRT-0111-BJ,Niveleuse,Liebherr,2020,4,Littoral,97000,Bon,UAB
PRT-0112-BJ,Véhicule léger 4x4,Ford,2010,14,Mono,605000,Moyen,UAB
PRT-0113-BJ,Camion benne,MAN,2017,7,Plateau,262000,Bon,NSIA Bénin
PRT-0114-BJ,Camion benne,IVECO,2007,17,Couffo,681000,Moyen,UAB
PRT-0115-BJ,Compacteur,Volvo CE,2021,3,Ouémé,134000,Bon,UAB
PRT-0116-BJ,Véhicule léger 4x4,Mitsubishi,2018,6,Atlantique,210000,Bon,SOBAC
PRT-0117-BJ,Camion benne,DAF,2011,13,Atlantique,297000,Moyen,Allianz Bénin
PRT-0118-BJ,Niveleuse,Liebherr,2005,19,Ouémé,578000,Mauvais,SAAR-Bénin
PRT-0119-BJ,Camion benne,IVECO,2014,10,Borgou,375000,Moyen,Allianz Bénin
PRT-0120-BJ,Camion malaxeur béton,DAF,2018,6,Littoral,119000,Bon,SAAR-Bénin
PRT-0121-BJ,Grue mobile,Komatsu,2006,18,Littoral,712000,Moyen,BGFA Bénin
PRT-0122-BJ,Compacteur,XCMG,2019,5,Littoral,190000,Bon,UAB
PRT-0123-BJ,Finisseur asphalte,Hitachi,2022,2,Plateau,35000,Bon,COLINA
PRT-0124-BJ,Camion benne,FOTON,2015,9,Collines,203000,Bon,SOBAC
PRT-0125-BJ,Grue mobile,Caterpillar,2013,11,Zou,228000,Mauvais,UAB
PRT-0126-BJ,Niveleuse,Doosan,2013,11,Littoral,394000,Moyen,BGFA Bénin
PRT-0127-BJ,Niveleuse,Komatsu,2020,4,Ouémé,148000,Bon,NSIA Bénin
PRT-0128-BJ,Chargeur,SANY,2018,6,Borgou,169000,Bon,BGFA Bénin
PRT-0129-BJ,Camion citerne,Mercedes-Benz,2019,5,Littoral,94000,Bon,BGFA Bénin
PRT-0130-BJ,Véhicule léger 4x4,Mitsubishi,2005,19,Collines,542000,Mauvais,NSIA Bénin
PRT-0131-BJ,Camion benne,SINO TRUCK,2020,4,Collines,87000,Moyen,SAAR-Bénin
PRT-0132-BJ,Niveleuse,XCMG,2019,5,Atacora,80000,Bon,SOBAC
PRT-0133-BJ,Compacteur,Volvo CE,2010,14,Atlantique,397000,Moyen,NSIA Bénin
PRT-0134-BJ,Camion benne,MAN,2019,5,Donga,100000,Bon,UAB
PRT-0135-BJ,Camion malaxeur béton,IVECO,2021,3,Borgou,86000,Bon,BGFA Bénin
PRT-0136-BJ,Niveleuse,Doosan,2012,12,Plateau,255000,Bon,COLINA
PRT-0137-BJ,Niveleuse,Liebherr,2007,17,Atlantique,486000,Mauvais,SAAR-Bénin
PRT-0138-BJ,Camion malaxeur béton,FAW,2013,11,Alibori,273000,Moyen,BGFA Bénin
PRT-0139-BJ,Compacteur,Doosan,2009,15,Plateau,388000,Mauvais,COLINA
PRT-0140-BJ,Camion citerne,FOTON,2019,5,Donga,189000,Moyen,Allianz Bénin
PRT-0141-BJ,Compacteur,Volvo CE,2018,6,Littoral,229000,Moyen,BGFA Bénin
PRT-0142-BJ,Véhicule léger 4x4,Land Rover,2009,15,Plateau,472000,Moyen,COLINA
PRT-0143-BJ,Véhicule léger 4x4,Toyota,2019,5,Littoral,78000,Moyen,SOBAC
PRT-0144-BJ,Camion benne,Volvo,2007,17,Plateau,444000,Mauvais,COLINA
PRT-0145-BJ,Pelle hydraulique,Komatsu,2015,9,Alibori,247000,Mauvais,SAAR-Bénin
PRT-0146-BJ,Compacteur,Doosan,2022,2,Littoral,34000,Bon,Allianz Bénin
PRT-0147-BJ,Pelle hydraulique,XCMG,2012,12,Borgou,219000,Moyen,BGFA Bénin
PRT-0148-BJ,Pelle hydraulique,Komatsu,2019,5,Littoral,80000,Bon,NSIA Bénin
PRT-0149-BJ,Véhicule léger 4x4,Toyota,2014,10,Ouémé,230000,Moyen,COLINA
PRT-0150-BJ,Véhicule léger 4x4,Land Rover,2010,14,Littoral,609000,Moyen,UAB
PRT-0151-BJ,Compacteur,Volvo CE,2020,4,Atacora,120000,Bon,SOBAC
PRT-0152-BJ,Camion benne,IVECO,2005,19,Atacora,464000,Mauvais,SOBAC
PRT-0153-BJ,Niveleuse,Komatsu,2019,5,Donga,124000,Moyen,SOBAC
PRT-0154-BJ,Camion plateau,IVECO,2019,5,Alibori,138000,Bon,BGFA Bénin
PRT-0155-BJ,Niveleuse,Volvo CE,2017,7,Zou,265000,Bon,SAAR-Bénin
PRT-0156-BJ,Camion benne,FOTON,2013,11,Littoral,446000,Mauvais,SOBAC
PRT-0157-BJ,Camion plateau,SHACMAN,2014,10,Borgou,413000,Moyen,SAAR-Bénin
PRT-0158-BJ,Camion benne,DAF,2013,11,Borgou,403000,Mauvais,SOBAC
PRT-0159-BJ,Grue mobile,Komatsu,2006,18,Atlantique,612000,Mauvais,SAAR-Bénin
PRT-0160-BJ,Bulldozer,Komatsu,2014,10,Atlantique,216000,Moyen,Allianz Bénin
PRT-0161-BJ,Camion citerne,SINO TRUCK,2021,3,Zou,72000,Bon,BGFA Bénin
PRT-0162-BJ,Camion benne,SHACMAN,2014,10,Borgou,188000,Moyen,UAB
PRT-0163-BJ,Camion plateau,Volvo,2012,12,Atacora,336000,Mauvais,BGFA Bénin
PRT-0164-BJ,Camion citerne,SINO TRUCK,2007,17,Alibori,554000,Moyen,NSIA Bénin
PRT-0165-BJ,Véhicule léger 4x4,Land Rover,2013,11,Zou,299000,Mauvais,NSIA Bénin
PRT-0166-BJ,Pelle hydraulique,Doosan,2005,19,Collines,489000,Mauvais,COLINA
PRT-0167-BJ,Camion benne,MAN,2019,5,Atacora,142000,Bon,NSIA Bénin
PRT-0168-BJ,Camion benne,Mercedes-Benz,2014,10,Couffo,227000,Bon,COLINA
PRT-0169-BJ,Camion benne,SHACMAN,2016,8,Borgou,262000,Mauvais,UAB
PRT-0170-BJ,Compacteur,Liebherr,2018,6,Collines,211000,Moyen,UAB
PRT-0171-BJ,Camion malaxeur béton,IVECO,2006,18,Borgou,532000,Moyen,Allianz Bénin
PRT-0172-BJ,Chargeur,Komatsu,2016,8,Zou,214000,Mauvais,NSIA Bénin
PRT-0173-BJ,Véhicule léger 4x4,Nissan,2008,16,Donga,288000,Mauvais,SOBAC
PRT-0174-BJ,Camion benne,Mercedes-Benz,2006,18,Borgou,344000,Moyen,BGFA Bénin
PRT-0175-BJ,Compacteur,Komatsu,2022,2,Atlantique,44000,Bon,BGFA Bénin
PRT-0176-BJ,Chargeur,SANY,2009,15,Borgou,361000,Mauvais,BGFA Bénin
PRT-0177-BJ,Camion plateau,Volvo,2022,2,Atlantique,41000,Bon,NSIA Bénin
PRT-0178-BJ,Pelle hydraulique,Caterpillar,2009,15,Littoral,342000,Mauvais,COLINA
PRT-0179-BJ,Véhicule léger 4x4,Nissan,2013,11,Littoral,355000,Mauvais,NSIA Bénin
PRT-0180-BJ,Bulldozer,Doosan,2019,5,Borgou,93000,Bon,UAB
PRT-0181-BJ,Niveleuse,Caterpillar,2021,3,Atlantique,108000,Bon,NSIA Bénin
PRT-0182-BJ,Camion benne,SHACMAN,2017,7,Ouémé,268000,Bon,UAB
PRT-0183-BJ,Camion benne,MAN,2015,9,Collines,216000,Bon,COLINA
PRT-0184-BJ,Pelle hydraulique,Hitachi,2015,9,Ouémé,222000,Moyen,UAB
PRT-0185-BJ,Niveleuse,JCB,2008,16,Alibori,583000,Moyen,SOBAC
PRT-0186-BJ,Chargeur,Hitachi,2011,13,Ouémé,371000,Mauvais,SAAR-Bénin
PRT-0187-BJ,Grue mobile,JCB,2018,6,Borgou,151000,Bon,SOBAC
PRT-0188-BJ,Camion benne,Volvo,2020,4,Littoral,72000,Moyen,UAB
PRT-0189-BJ,Camion benne,SINO TRUCK,2009,15,Zou,501000,Mauvais,COLINA
PRT-0190-BJ,Véhicule léger 4x4,Toyota,2018,6,Ouémé,238000,Bon,UAB
PRT-0191-BJ,Chargeur,Caterpillar,2014,10,Collines,339000,Moyen,COLINA
PRT-0192-BJ,Camion benne,SHACMAN,2012,12,Alibori,399000,Moyen,SAAR-Bénin
PRT-0193-BJ,Camion benne,IVECO,2012,12,Alibori,482000,Mauvais,BGFA Bénin
PRT-0194-BJ,Compacteur,Hitachi,2005,19,Collines,717000,Mauvais,SAAR-Bénin
PRT-0195-BJ,Camion benne,IVECO,2014,10,Donga,209000,Moyen,BGFA Bénin
PRT-0196-BJ,Camion benne,FOTON,2007,17,Littoral,272000,Mauvais,NSIA Bénin
PRT-0197-BJ,Bulldozer,Volvo CE,2017,7,Ouémé,190000,Bon,SAAR-Bénin
PRT-0198-BJ,Bulldozer,Komatsu,2006,18,Littoral,299000,Mauvais,SOBAC
PRT-0199-BJ,Camion benne,SHACMAN,2018,6,Plateau,144000,Bon,Allianz Bénin
PRT-0200-BJ,Bulldozer,Komatsu,2016,8,Ouémé,298000,Moyen,COLINA
PRT-0201-BJ,Niveleuse,XCMG,2006,18,Atlantique,302000,Mauvais,NSIA Bénin
PRT-0202-BJ,Camion benne,DAF,2009,15,Borgou,284000,Moyen,NSIA Bénin
PRT-0203-BJ,Niveleuse,JCB,2010,14,Littoral,316000,Mauvais,COLINA
PRT-0204-BJ,Niveleuse,SANY,2007,17,Ouémé,498000,Mauvais,NSIA Bénin
PRT-0205-BJ,Véhicule léger 4x4,Toyota,2015,9,Zou,344000,Moyen,SOBAC
PRT-0206-BJ,Véhicule léger 4x4,Toyota,2017,7,Littoral,289000,Bon,COLINA
PRT-0207-BJ,Véhicule léger 4x4,Land Rover,2016,8,Littoral,184000,Mauvais,UAB
PRT-0208-BJ,Compacteur,Hitachi,2007,17,Ouémé,444000,Moyen,Allianz Bénin
PRT-0209-BJ,Véhicule léger 4x4,Nissan,2007,17,Zou,539000,Moyen,Allianz Bénin
PRT-0210-BJ,Camion malaxeur béton,SINO TRUCK,2016,8,Borgou,334000,Mauvais,Allianz Bénin
PRT-0211-BJ,Camion benne,Volvo,2013,11,Littoral,439000,Moyen,BGFA Bénin
PRT-0212-BJ,Pelle hydraulique,Liebherr,2020,4,Plateau,136000,Bon,UAB
PRT-0213-BJ,Pelle hydraulique,SANY,2015,9,Littoral,265000,Bon,SOBAC
PRT-0214-BJ,Véhicule léger 4x4,Ford,2006,18,Ouémé,542000,Moyen,UAB
PRT-0215-BJ,Camion benne,SINO TRUCK,2014,10,Littoral,430000,Mauvais,NSIA Bénin
PRT-0216-BJ,Compacteur,Hitachi,2017,7,Plateau,287000,Bon,SOBAC
PRT-0217-BJ,Chargeur,Doosan,2011,13,Atlantique,259000,Mauvais,NSIA Bénin
PRT-0218-BJ,Véhicule léger 4x4,Ford,2007,17,Zou,393000,Moyen,SOBAC
PRT-0219-BJ,Véhicule léger 4x4,Isuzu,2021,3,Zou,61000,Bon,SAAR-Bénin
PRT-0220-BJ,Véhicule léger 4x4,Ford,2017,7,Ouémé,242000,Bon,NSIA Bénin
PRT-0221-BJ,Camion citerne,SINO TRUCK,2007,17,Atlantique,470000,Mauvais,SAAR-Bénin
PRT-0222-BJ,Camion benne,Volvo,2015,9,Littoral,238000,Moyen,SAAR-Bénin
PRT-0223-BJ,Camion plateau,FOTON,2009,15,Collines,377000,Mauvais,COLINA
PRT-0224-BJ,Véhicule léger 4x4,Ford,2009,15,Borgou,588000,Mauvais,SOBAC
PRT-0225-BJ,Camion malaxeur béton,MAN,2018,6,Zou,151000,Bon,Allianz Bénin
PRT-0226-BJ,Finisseur asphalte,SANY,2020,4,Littoral,80000,Moyen,NSIA Bénin
PRT-0227-BJ,Véhicule léger 4x4,Toyota,2021,3,Borgou,127000,Bon,SOBAC
PRT-0228-BJ,Chargeur,Caterpillar,2015,9,Atacora,311000,Moyen,UAB
PRT-0229-BJ,Camion benne,Volvo,2010,14,Borgou,377000,Moyen,SOBAC
PRT-0230-BJ,Bulldozer,Doosan,2014,10,Borgou,227000,Mauvais,COLINA
PRT-0231-BJ,Camion benne,SHACMAN,2011,13,Ouémé,383000,Mauvais,UAB
PRT-0232-BJ,Camion citerne,FOTON,2021,3,Zou,61000,Bon,BGFA Bénin
PRT-0233-BJ,Camion benne,Volvo,2013,11,Littoral,299000,Moyen,COLINA
PRT-0234-BJ,Camion malaxeur béton,FAW,2008,16,Atlantique,383000,Mauvais,UAB
PRT-0235-BJ,Camion malaxeur béton,Volvo,2018,6,Littoral,251000,Moyen,UAB
PRT-0236-BJ,Chargeur,Caterpillar,2018,6,Littoral,136000,Bon,UAB
PRT-0237-BJ,Camion plateau,SINO TRUCK,2012,12,Littoral,510000,Mauvais,SOBAC
PRT-0238-BJ,Pelle hydraulique,Liebherr,2009,15,Littoral,457000,Mauvais,SOBAC
PRT-0239-BJ,Grue mobile,Doosan,2019,5,Collines,78000,Moyen,SAAR-Bénin
PRT-0240-BJ,Camion benne,Volvo,2022,2,Donga,70000,Bon,COLINA
PRT-0241-BJ,Véhicule léger 4x4,Ford,2012,12,Atlantique,345000,Bon,SOBAC
PRT-0242-BJ,Camion citerne,SHACMAN,2007,17,Littoral,587000,Mauvais,COLINA
PRT-0243-BJ,Camion benne,FAW,2012,12,Borgou,181000,Moyen,COLINA
PRT-0244-BJ,Véhicule léger 4x4,Mitsubishi,2018,6,Littoral,193000,Bon,SAAR-Bénin
PRT-0245-BJ,Camion benne,FAW,2022,2,Zou,63000,Bon,COLINA
PRT-0246-BJ,Camion benne,SHACMAN,2006,18,Collines,420000,Mauvais,SOBAC
PRT-0247-BJ,Camion benne,MAN,2016,8,Atlantique,147000,Moyen,BGFA Bénin
PRT-0248-BJ,Compacteur,SANY,2009,15,Littoral,625000,Mauvais,SOBAC
PRT-0249-BJ,Camion benne,SHACMAN,2020,4,Collines,68000,Moyen,SOBAC
PRT-0250-BJ,Camion citerne,SHACMAN,2006,18,Atlantique,388000,Moyen,NSIA Bénin
PRT-0251-BJ,Véhicule léger 4x4,Ford,2021,3,Ouémé,125000,Bon,COLINA
PRT-0252-BJ,Véhicule léger 4x4,Toyota,2011,13,Atlantique,215000,Mauvais,BGFA Bénin
PRT-0253-BJ,Pelle hydraulique,XCMG,2008,16,Alibori,450000,Mauvais,SOBAC
PRT-0254-BJ,Véhicule léger 4x4,Isuzu,2015,9,Mono,282000,Moyen,SAAR-Bénin
PRT-0255-BJ,Camion malaxeur béton,FAW,2013,11,Alibori,193000,Mauvais,UAB
PRT-0256-BJ,Compacteur,Liebherr,2022,2,Atlantique,37000,Bon,NSIA Bénin
PRT-0257-BJ,Véhicule léger 4x4,Ford,2014,10,Plateau,205000,Mauvais,SOBAC
PRT-0258-BJ,Véhicule léger 4x4,Isuzu,2006,18,Borgou,633000,Mauvais,UAB
PRT-0259-BJ,Camion benne,Mercedes-Benz,2007,17,Borgou,541000,Mauvais,BGFA Bénin
PRT-0260-BJ,Bulldozer,Liebherr,2005,19,Littoral,771000,Mauvais,UAB
PRT-0261-BJ,Camion benne,MAN,2012,12,Borgou,331000,Moyen,COLINA
PRT-0262-BJ,Camion benne,Volvo,2019,5,Donga,200000,Bon,NSIA Bénin
PRT-0263-BJ,Compacteur,Hitachi,2016,8,Ouémé,185000,Moyen,NSIA Bénin
PRT-0264-BJ,Camion benne,Volvo,2020,4,Zou,75000,Moyen,SAAR-Bénin
PRT-0265-BJ,Camion citerne,SHACMAN,2011,13,Couffo,404000,Moyen,Allianz Bénin
PRT-0266-BJ,Camion benne,MAN,2019,5,Littoral,89000,Moyen,BGFA Bénin
PRT-0267-BJ,Pelle hydraulique,SANY,2016,8,Borgou,196000,Moyen,SAAR-Bénin
PRT-0268-BJ,Chargeur,Liebherr,2016,8,Zou,173000,Bon,BGFA Bénin
PRT-0269-BJ,Camion benne,SHACMAN,2005,19,Ouémé,576000,Mauvais,BGFA Bénin
PRT-0270-BJ,Camion plateau,Volvo,2007,17,Littoral,654000,Mauvais,SOBAC
PRT-0271-BJ,Véhicule léger 4x4,Isuzu,2018,6,Alibori,152000,Bon,SOBAC
PRT-0272-BJ,Camion benne,SHACMAN,2021,3,Ouémé,131000,Bon,BGFA Bénin
PRT-0273-BJ,Camion citerne,Volvo,2009,15,Ouémé,252000,Mauvais,BGFA Bénin
PRT-0274-BJ,Camion benne,Volvo,2014,10,Littoral,382000,Moyen,Allianz Bénin
PRT-0275-BJ,Véhicule léger 4x4,Mitsubishi,2014,10,Alibori,358000,Moyen,COLINA
PRT-0276-BJ,Camion benne,IVECO,2022,2,Littoral,72000,Bon,Allianz Bénin
PRT-0277-BJ,Compacteur,Liebherr,2010,14,Collines,488000,Mauvais,SAAR-Bénin
